,Id,PID,MS SubClass,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Land Slope,Condition 1,Condition 2,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,SalePrice,has_garage,has_vnr,has_bsmt,has_alley,has_fireplace,has_pool,has_fence,zone_C (all),zone_FV,zone_I (all),zone_RH,zone_RL,zone_RM,lot_config_CulDSac,lot_config_FR2,lot_config_FR3,lot_config_Inside,neighborhood_Blueste,neighborhood_BrDale,neighborhood_BrkSide,neighborhood_ClearCr,neighborhood_CollgCr,neighborhood_Crawfor,neighborhood_Edwards,neighborhood_Gilbert,neighborhood_Greens,neighborhood_GrnHill,neighborhood_IDOTRR,neighborhood_Landmrk,neighborhood_MeadowV,neighborhood_Mitchel,neighborhood_NAmes,neighborhood_NPkVill,neighborhood_NWAmes,neighborhood_NoRidge,neighborhood_NridgHt,neighborhood_OldTown,neighborhood_SWISU,neighborhood_Sawyer,neighborhood_SawyerW,neighborhood_Somerst,neighborhood_StoneBr,neighborhood_Timber,neighborhood_Veenker,bldg_type_2fmCon,bldg_type_Duplex,bldg_type_Twnhs,bldg_type_TwnhsE,total_full_bath,total_half_bath
10,1044,527451290,160,21.0,1680,Pave,N/A,Reg,Lvl,4,1,Norm,Norm,2.0,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,232.0,3,3,CBlock,3,3,1,ALQ,387.0,Unf,0.0,96.0,483.0,GasA,3,1,SBrkr,483,504,0,987,0,0,1,1,2,1,3,4,8,0,0,Detchd,1971,1,1,264.0,3,3,1.0,0,0,0,0,0,0,0,N/A,0,7,2008,COD,85400,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
11,2752,906380150,20,64.0,7488,Pave,N/A,IR1,Lvl,4,1,Norm,Norm,1.0,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,3,GLQ,393.0,Unf,0.0,815.0,1208.0,GasA,5,1,SBrkr,1208,0,0,1208,0,0,2,0,2,1,4,6,8,0,0,Attchd,2005,2,2,632.0,3,3,1.0,105,58,0,0,0,0,0,N/A,0,2,2006,WD ,183600,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
12,807,906226060,70,120.0,26400,Pave,N/A,Reg,Bnk,4,1,Feedr,Norm,2.0,5,7,1880,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,4,3,PConc,0,0,0,N/A,0.0,N/A,0.0,0.0,0.0,GasA,5,1,SBrkr,1288,728,0,2016,0,0,1,0,4,1,3,7,5,1,3,Attchd,1900,1,2,576.0,3,3,0.5,0,0,0,0,0,0,0,N/A,0,6,2009,WD ,131000,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
13,1177,533236070,160,24.0,2645,Pave,Pave,Reg,Lvl,4,1,Norm,Norm,2.0,8,5,1999,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,456.0,4,3,PConc,4,3,1,GLQ,813.0,Unf,0.0,147.0,960.0,GasA,5,1,SBrkr,962,645,0,1607,1,0,2,1,3,1,4,7,8,0,0,Detchd,2000,1,2,480.0,3,3,1.0,169,0,0,0,0,0,0,N/A,0,12,2008,ConLD,200000,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,1
14,1480,907418040,20,74.0,9627,Pave,N/A,Reg,Lvl,4,1,Norm,Norm,1.0,7,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,3,GLQ,24.0,Unf,0.0,1327.0,1351.0,GasA,5,1,SBrkr,1361,0,0,1361,0,0,2,0,3,1,4,6,8,0,0,Attchd,2007,2,2,610.0,3,3,1.0,0,50,0,0,0,0,0,N/A,0,6,2008,WD ,193000,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
15,324,923202105,20,93.0,10114,Pave,N/A,Reg,Lvl,4,1,Norm,Norm,1.0,5,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,5,3,3,Unf,0.0,Unf,0.0,1430.0,1430.0,GasA,5,1,SBrkr,1430,0,0,1430,0,0,2,0,3,1,4,7,8,0,0,Attchd,2004,2,2,624.0,3,3,1.0,0,0,0,0,0,0,0,N/A,0,3,2010,WD ,173500,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
16,1311,902301140,70,34.0,4571,Pave,Grvl,Reg,Lvl,4,1,Norm,Norm,2.0,5,5,1916,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,3,3,BrkTil,3,3,1,Unf,0.0,Unf,0.0,624.0,624.0,GasA,2,0,SBrkr,624,720,0,1344,0,0,1,0,4,1,3,7,8,0,0,Detchd,1916,1,3,513.0,2,2,1.0,0,0,96,0,0,0,0,N/A,0,5,2008,COD,98000,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
17,770,905101490,20,80.0,8816,Pave,N/A,Reg,Lvl,4,1,Feedr,Norm,1.0,5,6,1963,1963,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,3,3,1,Rec,651.0,Unf,0.0,470.0,1121.0,GasA,3,1,SBrkr,1121,0,0,1121,1,0,1,0,3,1,3,5,8,0,0,Detchd,1963,1,2,480.0,3,3,1.0,0,80,0,0,0,0,3,N/A,0,6,2009,WD ,139000,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0
18,2063,905107140,20,71.0,8197,Pave,N/A,Reg,Lvl,4,1,Norm,Norm,1.0,6,5,1977,1977,Gable,CompShg,Plywood,Plywood,BrkFace,148.0,3,3,CBlock,3,3,1,Unf,0.0,Unf,0.0,660.0,660.0,GasA,5,1,SBrkr,1285,0,0,1285,0,0,1,1,3,1,3,7,8,1,3,Attchd,1977,2,2,528.0,3,3,1.0,138,0,0,0,0,0,3,N/A,0,4,2007,WD ,143500,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
19,69,528458070,60,72.0,8640,Pave,N/A,Reg,Lvl,4,1,Norm,Norm,2.0,7,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,2,GLQ,24.0,Unf,0.0,732.0,756.0,GasA,5,1,SBrkr,764,783,0,1547,0,0,2,1,3,1,4,7,8,0,0,Attchd,2009,1,2,614.0,3,3,1.0,169,45,0,0,0,0,0,N/A,0,6,2010,Con,215200,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1
20,2062,905106150,20,109.0,8724,Pave,N/A,Reg,Lvl,4,1,Norm,Norm,1.0,5,5,1968,1968,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,4,3,1,BLQ,492.0,Unf,0.0,402.0,894.0,GasA,4,1,SBrkr,894,0,0,894,0,0,1,0,3,1,3,5,8,1,1,Attchd,1968,3,2,450.0,3,3,1.0,0,0,0,0,0,0,0,N/A,0,5,2007,WD ,129000,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
21,351,527131030,120,40.0,5664,Pave,N/A,IR1,Lvl,4,1,Norm,Norm,1.0,8,5,2000,2000,Gable,CompShg,CemntBd,CmentBd,None,0.0,4,3,PConc,4,3,1,GLQ,1158.0,Unf,0.0,343.0,1501.0,GasA,5,1,SBrkr,1659,0,0,1659,1,0,2,0,2,1,5,5,8,1,5,Attchd,2000,3,2,499.0,3,3,1.0,212,59,0,0,0,0,0,N/A,0,10,2009,WD ,278000,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0
22,2393,528142010,60,103.0,12867,Pave,N/A,IR1,Lvl,4,1,Norm,Norm,2.0,8,5,2005,2006,Gable,CompShg,CemntBd,CmentBd,N/A,0.0,4,3,PConc,5,3,3,Unf,0.0,Unf,0.0,1209.0,1209.0,GasA,5,1,SBrkr,1209,1044,0,2253,0,0,2,1,3,1,5,8,8,1,4,Attchd,2005,3,2,575.0,3,3,1.0,243,142,0,0,0,0,0,N/A,0,7,2006,New,344133,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1
23,12,527165230,20,58.93889657069052,7980,Pave,N/A,IR1,Lvl,4,1,Norm,Norm,1.0,6,7,1992,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,4,PConc,4,3,1,ALQ,935.0,Unf,0.0,233.0,1168.0,GasA,5,1,SBrkr,1187,0,0,1187,1,0,2,0,3,1,3,6,8,0,0,Attchd,1992,3,2,420.0,3,3,1.0,483,21,0,0,0,0,4,Shed,500,3,2010,WD ,185000,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
24,2339,527250040,190,100.0,34650,Pave,N/A,Reg,Bnk,4,1,Norm,Norm,1.0,5,5,1955,1955,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,2,Rec,1056.0,Unf,0.0,0.0,1056.0,GasA,3,0,SBrkr,1056,0,0,1056,1,0,1,0,3,1,3,5,8,0,0,Attchd,1955,3,2,572.0,3,3,1.0,264,0,0,0,0,0,0,N/A,0,1,2006,WD ,145000,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0
25,624,535104120,20,92.0,10573,Pave,N/A,IR1,Lvl,4,1,Norm,Norm,1.0,6,6,1961,1961,Hip,CompShg,MetalSd,MetalSd,BrkFace,3.0,3,3,CBlock,3,3,1,Rec,1312.0,Unf,0.0,141.0,1453.0,GasA,5,1,SBrkr,1453,0,0,1453,1,0,2,0,3,1,3,6,8,1,3,Attchd,1961,2,2,530.0,3,3,1.0,0,49,0,0,288,0,4,N/A,0,4,2009,WD ,187500,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
26,86,532376160,20,65.0,8450,Pave,N/A,Reg,Lvl,4,1,RRAe,Norm,1.0,5,8,1965,2009,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,4,CBlock,3,3,1,GLQ,553.0,BLQ,117.0,224.0,894.0,GasA,5,1,SBrkr,894,0,0,894,1,0,1,0,3,1,3,5,8,1,4,Detchd,1973,1,1,336.0,3,3,1.0,416,144,0,0,0,0,3,N/A,0,4,2010,WD ,138500,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0
27,1534,909277040,50,86.41417166379436,11700,Pave,Grvl,IR1,HLS,4,2,Norm,Norm,1.6666666666666667,5,6,1937,1995,Gable,CompShg,WdShing,Wd Shng,None,0.0,3,3,CBlock,3,3,1,BLQ,606.0,Unf,0.0,336.0,942.0,GasA,5,1,SBrkr,1265,673,0,1938,0,0,2,0,4,1,4,7,6,1,4,Detchd,1937,1,1,240.0,3,3,1.0,0,40,0,0,0,0,0,N/A,0,7,2008,WD ,198000,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
28,2243,911103060,190,75.0,8250,Pave,N/A,Reg,Lvl,4,1,Feedr,Norm,2.0,5,6,1895,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,3,3,1,Unf,0.0,Unf,0.0,957.0,957.0,GasA,2,0,SBrkr,1034,957,0,1991,0,0,2,0,4,2,3,9,8,0,0,N/A,1978,0,0,0.0,0,0,0.0,0,0,133,0,0,0,0,N/A,0,6,2007,WD ,119600,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0
29,1957,535450190,50,60.0,8064,Pave,N/A,Reg,Lvl,4,1,Artery,Norm,1.6666666666666667,5,7,1949,2006,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,4,CBlock,3,3,2,Unf,0.0,Unf,0.0,672.0,672.0,GasA,5,1,SBrkr,672,252,0,924,0,0,1,0,3,1,3,6,8,1,1,Detchd,2003,1,2,576.0,3,3,1.0,0,0,0,0,0,0,3,Shed,2000,7,2007,WD ,122900,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
30,380,527355150,20,80.0,9600,Pave,N/A,Reg,Lvl,4,1,PosN,Norm,1.0,8,5,1981,1981,Hip,WdShngl,BrkFace,BrkFace,None,0.0,4,3,PConc,4,3,1,ALQ,1104.0,Unf,0.0,1420.0,2524.0,GasA,3,1,SBrkr,2524,0,0,2524,1,0,2,1,4,1,4,9,8,1,4,Attchd,1981,3,2,542.0,3,3,1.0,474,120,0,0,0,0,3,N/A,0,7,2009,WD ,278000,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
31,2860,909276010,70,84.45692760474262,11435,Pave,N/A,IR1,HLS,4,2,Norm,Norm,2.0,8,7,1929,1950,Gable,CompShg,BrkFace,Stucco,None,0.0,3,3,PConc,4,3,1,Unf,0.0,Unf,0.0,792.0,792.0,GasA,2,1,SBrkr,792,725,0,1517,0,0,1,0,3,1,4,7,8,2,4,Detchd,1931,1,2,400.0,3,3,1.0,0,0,0,0,0,0,0,N/A,0,6,2006,WD ,230000,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
32,2517,533250130,120,30.0,9549,Pave,N/A,IR1,Lvl,4,1,Norm,Norm,1.0,8,5,1995,1996,Hip,CompShg,BrkFace,BrkFace,None,0.0,4,4,PConc,4,4,3,LwQ,437.0,GLQ,1057.0,0.0,1494.0,GasA,5,1,SBrkr,1494,0,0,1494,1,0,1,1,2,1,5,6,8,1,4,Attchd,1995,3,2,481.0,3,3,1.0,0,30,0,0,216,0,0,N/A,0,4,2006,WD ,270000,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1
33,1933,535302070,20,60.0,10950,Pave,N/A,Reg,Lvl,4,1,Norm,Norm,1.0,6,6,1952,1952,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,1,ALQ,441.0,Unf,0.0,507.0,948.0,GasA,3,1,SBrkr,948,0,0,948,0,0,1,0,2,1,3,5,8,0,0,Detchd,1952,1,2,410.0,3,3,0.0,0,48,0,0,0,0,0,N/A,0,4,2007,WD ,125000,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
34,820,906340110,20,79.0,10637,Pave,N/A,Reg,Lvl,4,1,Norm,Norm,1.0,8,5,2007,2008,Hip,CompShg,VinylSd,VinylSd,Stone,336.0,4,3,PConc,5,3,4,GLQ,1288.0,Unf,0.0,417.0,1705.0,GasA,5,1,SBrkr,1718,0,0,1718,1,0,2,0,3,1,4,7,8,1,4,Attchd,2007,2,3,826.0,3,3,1.0,208,44,0,0,0,0,0,N/A,0,9,2009,WD ,297000,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
